,feature_id
0,22162032
1,22162026
2,22162020
3,22162016
4,22162014
5,22162022
6,22162024
7,22162012
8,22162018
9,22159266
10,22159258
11,22162774
12,22162778
13,22162788
14,22162876
15,22162870
16,22162866
17,22162888
18,22162884
19,22162808
20,22162806
21,22162892
22,22162820
23,22162828
24,22162834
25,22162836
26,22162830
27,22162810
28,22162798
29,22162824
30,22162850
31,22162856
32,22162862
33,22162852
34,22162844
35,22162840
36,22162908
37,22161826
38,22162904
39,22161842
40,22161840
41,22161806
42,22161792
43,22170602
44,22161800
45,22161772
46,22161762
47,22161726
48,22161716
49,22161720
50,22161752
51,22161710
52,22161732
53,22161736
54,166912864
55,25397060
56,22161756
57,22161760
58,22161780
59,22161804
60,22161810
61,22161816
62,22161830
63,22161820
64,22161834
65,22161882
66,22161878
67,22161880
68,22161866
69,22161858
70,22161888
71,22161900
72,22161898
73,22161906
74,22161910
75,22161928
76,22161922
77,22161916
78,22161930
79,22161960
80,22161962
81,22161958
82,22161942
83,22161954
84,22161946
85,22161966
86,22161970
87,22161974
88,22161978
89,22161982
90,22161986
91,22161992
92,22162002
93,22162010
94,22162028
95,22162034
96,22162038
97,22162048
98,22162052
99,22162070
100,22162058
101,22162084
102,22162092
103,22162098
104,22162094
105,22162114
106,22162118
107,22162124
108,22162128
109,22162132
110,22162140
111,22162154
112,22162142
113,22162170
114,22162182
115,22162178
116,22162188
117,22165352
118,22165358
119,22165356
120,22165374
121,22165392
122,22165396
123,22163404
124,22163408
125,22163452
126,22163560
127,22163576
128,22163642
129,22163690
130,22163706
131,22163750
132,22163834
133,22163868
134,22163902
135,22163916
136,22163992
137,22163996
138,22164004
139,22164052
140,22164070
141,22164210
142,22164208
143,22164250
144,22164274
145,22164300
146,22164296
147,22164280
148,22164540
149,22164348
150,22164558
151,22164566
152,22164590
153,22165296
154,22164618
155,22165294
156,22164628
157,22164630
158,22164650
159,22164760
160,22164774
161,22159850
162,22159820
163,22164778
164,22164824
165,22163768
166,22159834
167,22164870
168,22163754
169,22159734
170,22163738
171,22161224
172,22161562
173,22161230
174,22163730
175,22159648
176,22163694
177,22161688
178,22165330
179,22164926
180,22161208
181,22164930
182,22162402
183,22161204
184,22160382
185,22164928
186,22160376
187,22163718
188,22161564
189,22162414
190,22164890
191,22161196
192,22161598
193,22159652
194,22164882
195,22163788
196,22159684
197,22159682
198,22164904
199,22161256
200,22162422
201,22161228
202,22162432
203,22162428
204,22163850
205,22163808
206,22162436
207,22163870
208,22161238
209,22164970
210,22159712
211,22161684
212,22159690
213,22161180
214,22161170
215,22164968
216,22160384
217,22160268
218,22159702
219,22164996
220,22159856
221,22163592
222,22160300
223,22159694
224,22162450
225,22159890
226,22161310
227,22163990
228,22160322
229,22159646
230,22165028
231,22163596
232,22162440
233,22159692
234,22163598
235,22162448
236,22159710
237,22161654
238,22164614
239,22160344
240,22163614
241,22159732
242,22165084
243,22160340
244,22163740
245,22165086
246,22163746
247,22159978
248,22161560
249,22160334
250,22161166
251,22160508
252,22165088
253,22165300
254,22163602
255,22164632
256,22163580
257,22163578
258,22165240
259,22163816
260,22160494
261,22161306
262,22159740
263,22161280
264,22164664
265,22164676
266,22165230
267,22164680
268,22162474
269,22161060
270,22160044
271,22160048
272,22160484
273,22159760
274,22163848
275,22161302
276,22159564
277,22161052
278,22163876
279,22160350
280,22165090
281,22163558
282,22163880
283,22160496
284,22159540
285,22163482
286,22161050
287,22159622
288,22163928
289,22160306
290,22163456
291,22159574
292,22164730
293,22160588
294,22165060
295,22160094
296,22160308
297,22161696
298,22159770
299,22160104
300,22159554
301,22164060
302,22165460
303,22162492
304,22164612
305,22163430
306,22161114
307,22159496
308,22161318
309,22164002
310,22161340
311,22161112
312,22159546
313,22162504
314,22164016
315,22162292
316,22161104
317,22160546
318,22164530
319,22164584
320,22164014
321,22165016
322,22162508
323,22159678
324,22163368
325,22160738
326,22160722
327,22160530
328,22164788
329,22161086
330,22164078
331,22161084
332,22160682
333,22164960
334,22164500
335,22159520
336,22164048
337,22160314
338,22160560
339,22159482
340,22164832
341,22164012
342,22161372
343,22159490
344,22163338
345,22160728
346,22163976
347,22161110
348,22164846
349,22165076
350,22160556
351,22164476
352,22160204
353,22161364
354,22160832
355,22162524
356,22161094
357,22164874
358,22164450
359,22163980
360,22163316
361,22161090
362,22165082
363,22163280
364,22161592
365,22160846
366,22161334
367,22160284
368,22160538
369,22160562
370,22164898
371,22159476
372,22160706
373,22164912
374,22160514
375,22163974
376,22164072
377,22164442
378,22159754
379,22165080
380,22160346
381,22160254
382,22162412
383,22161362
384,22164090
385,22163272
386,22160264
387,22160748
388,22161360
389,22160698
390,22161410
391,22163218
392,22160876
393,22160754
394,22160640
395,22159442
396,22163930
397,22160534
398,22163904
399,22162546
400,22163720
401,22164840
402,22158946
403,22162290
404,22161494
405,22160198
406,22160878
407,22160694
408,22160276
409,22164088
410,22159750
411,22160536
412,22159450
413,22159446
414,22163866
415,22163942
416,22160354
417,22161082
418,22161700
419,22163864
420,22164966
421,22164940
422,22163710
423,22164086
424,22165262
425,22160732
426,22160246
427,22158924
428,22160884
429,22159430
430,22161058
431,22160954
432,22160266
433,22161358
434,22164800
435,22164068
436,22161472
437,22160368
438,22163968
439,22162452
440,22160370
441,22159452
442,22163698
443,22160746
444,22163838
445,22163800
446,22164242
447,22160528
448,22164764
449,22163682
450,22161576
451,22160208
452,22160148
453,22160372
454,22164456
455,22163964
456,22160482
457,22163986
458,22161426
459,22160730
460,22165340
461,22160176
462,22159426
463,22161088
464,22160942
465,22164276
466,22165118
467,22163792
468,22159728
469,22162462
470,22164360
471,22165032
472,22160212
473,22159604
474,22160894
475,22162472
476,22164748
477,22161046
478,22164316
479,22159660
480,22164944
481,22158934
482,22163758
483,22160178
484,22163674
485,22164864
486,22160168
487,22160912
488,22160724
489,22164114
490,22160386
491,22161674
492,22159664
493,22160222
494,22163956
495,22159422
496,22159756
497,22164842
498,22161056
499,22164948
500,22164062
501,22160406
502,22160166
503,22163662
504,22161556
505,22164148
506,22161034
507,22161064
508,22164156
509,22161460
510,22164380
511,22165338
512,22164036
513,22162476
514,22159406
515,22163556
516,22163920
517,22160394
518,22165024
519,22159526
520,22164404
521,22164022
522,22160338
523,22165108
524,22162484
525,22163770
526,22160366
527,22163546
528,22161446
529,22159448
530,22161078
531,22160712
532,22160982
533,22164408
534,22160330
535,22162350
536,22160766
537,22160436
538,22161420
539,22164938
540,22163544
541,22165130
542,22160356
543,22160704
544,22159776
545,22161344
546,22159726
547,22161572
548,22164696
549,22159400
550,22164416
551,22160870
552,22159700
553,22160932
554,22160522
555,22164486
556,22160768
557,22159746
558,22164238
559,22158932
560,22160926
561,22161662
562,22160156
563,22163540
564,22164638
565,22165044
566,22160214
567,22160194
568,22164496
569,22163726
570,22162332
571,22165144
572,22160856
573,22160202
574,22158582
575,22164920
576,22159730
577,22158564
578,22164128
579,22165072
580,22162326
581,22158918
582,22161484
583,22160294
584,22165046
585,22163994
586,22164030
587,22163680
588,22164410
589,22164828
590,22150245
591,22161062
592,22163370
593,22160066
594,22160918
595,22161126
596,22163432
597,22163666
598,22160772
599,22163212
600,22163204
601,22161378
602,22164512
603,22162324
604,22159784
605,22164284
606,22164334
607,22162566
608,22164138
609,22160686
610,22164292
611,22163512
612,22161596
613,22160446
614,22162568
615,22158910
616,22164520
617,22160638
618,22164894
619,22160218
620,22162458
621,22161552
622,22163226
623,22160252
624,22161614
625,22164634
626,22161584
627,22160024
628,22162502
629,22163506
630,22160358
631,22160864
632,22160120
633,22164758
634,22165154
635,22163894
636,22165050
637,22160972
638,22161574
639,22161300
640,22163236
641,22163410
642,22158920
643,22160630
644,22161290
645,22165166
646,22164150
647,22164342
648,22163656
649,22161492
650,22160778
651,22163648
652,22163624
653,22164352
654,22164572
655,22165268
656,22162468
657,22164024
658,22160992
659,22161616
660,22161042
661,22160642
662,22163384
663,22158562
664,22160076
665,22164740
666,22159630
667,22164674
668,22164838
669,22164174
670,22165244
671,22158536
672,22160230
673,22163786
674,22160520
675,22162416
676,22160812
677,22160172
678,22164654
679,22164592
680,22160758
681,22163232
682,22164454
683,22160046
684,22160450
685,22164286
686,22160028
687,22163234
688,22163498
689,22164656
690,22165054
691,22160604
692,22159436
693,22163348
694,22164186
695,22160056
696,22159420
697,22160736
698,22160078
699,22164822
700,22159584
701,22164428
702,22159828
703,22161644
704,22164660
